t, x, y, z
0, 1e+03, 0, 0
1, 841, 84.4, 74.7
2, 707, 92.1, 201
3, 595, 82.7, 323
4, 500, 70.9, 429
5, 420, 59.9, 520
6, 354, 50.5, 596
7, 297, 42.5, 660
8, 250, 35.7, 714
9, 210, 30, 760
10, 177, 25.3, 798
11, 149, 21.2, 830
12, 125, 17.9, 857
13, 105, 15, 880
14, 88.4, 12.6, 899
15, 74.3, 10.6, 915
16, 62.5, 8.93, 929
17, 52.6, 7.51, 940
18, 44.2, 6.31, 949
19, 37.2, 5.31, 958
20, 31.2, 4.46, 964
21, 26.3, 3.75, 970
22, 22.1, 3.16, 975
23, 18.6, 2.65, 979
24, 15.6, 2.23, 982
25, 13.1, 1.88, 985
26, 11, 1.58, 987
27, 9.29, 1.33, 989
28, 7.81, 1.12, 991
29, 6.57, 0.939, 992
30, 5.52, 0.789, 994
31, 4.65, 0.664, 995
32, 3.91, 0.558, 996
33, 3.28, 0.469, 996
34, 2.76, 0.395, 997
35, 2.32, 0.332, 997
36, 1.95, 0.279, 998
37, 1.64, 0.235, 998
38, 1.38, 0.197, 998
39, 1.16, 0.166, 999
40, 0.977, 0.14, 999
41, 0.821, 0.117, 999
42, 0.691, 0.0986, 999
43, 0.581, 0.083, 999
44, 0.488, 0.0698, 999
45, 0.411, 0.0587, 1e+03
46, 0.345, 0.0493, 1e+03
47, 0.29, 0.0415, 1e+03
48, 0.244, 0.0349, 1e+03
49, 0.205, 0.0293, 1e+03
50, 0.173, 0.0247, 1e+03
51, 0.145, 0.0207, 1e+03
