Distance (M-Parsecs),error in D (M-Parsecs),Speed (km/sec),error in v (km/sec)
82.7942,2.67177,5420.01,300
89.1251,2.05433,6011.74,300
50.8159,3.51392,3318.94,300
450.817,12.4696,30269.1,300
361.41,14.9949,22387.2,300
79.4328,2.92948,7870.46,300
223.872,14.4487,13803.8,300
138.038,10.8181,9794.9,300
67.6083,2.49339,4102.04,300
236.592,6.54413,15066.1,300
27.7971,1.40959,1990.67,300
39.0841,1.80178,2449.06,300
80.1678,4.06531,5116.82,300
115.878,4.80777,7227.7,300
70.4693,1.62432,4841.72,300
170.608,7.86504,10715.2,300
148.594,8.90521,8669.62,300
243.22,24.6674,14791.1,300
35.6451,0.985944,2500.35,300
56.4937,1.56262,3523.71,300
