wave,reading1,reading2,reading3
4047.7,20.11,20.11,20.11
4079,20.26,20.29,20.29
4109.2,20.43,20.42,20.43
4340.4,21.57,21.57,21.55
4348.7,21.61,21.63,21.62
4359.5,21.67,21.67,21.67
4917.3,24.44,24.42,24.43
4961.7,24.64,24.63,24.64
5462.2,27.11,27.11,27.11
5677.4,28.17,28.18,28.18
5771.2,28.64,28.64,28.64
5792.2,28.75,28.73,28.74
5860.9,29.08,29.07,29.09
5891.6,29.22,29.23,29.23
6074.4,30.14,30.13,30.12
6125.2,30.38,30.38,30.37
6236.1,30.93,30.93,30.92
6718.3,33.29,33.29,33.28
6909.4,34.25,34.21,34.22
